feature,importance
r_flux_above_mean_frac,0.034093384
r_flux_skew,0.023550933
g_gp_peak_flux,0.023260009
i_std_flux_change,0.019554362
u_flux_weighted_mean,0.017303301
r_flux_weighted_std,0.015817823
g_flux_skew,0.012104841
r_flux_iqr_ratio,0.011815954
r_flux_std,0.010716799
r_gp_decline_slope,0.010001259
r_flux_25th,0.009696424
z_gp_flux_max,0.009464802
r_flux_05th,0.008655209
u_gp_flux_mean,0.008345627
g_flux_95th,0.008025803
i_gp_decline_slope,0.007952775
r_flux_mean,0.007648691
g_gp_flux_mean,0.0075757755
r_flux_median,0.00739943
g_gp_flux_max,0.007370732
r_gp_rise_slope,0.0065865517
g_flux_10th,0.006270011
color_g_minus_r,0.005802951
i_max_time_gap,0.005486114
y_std_time_gap,0.0054225284
r_flux_iqr,0.0053704996
u_flux_mean,0.005307186
g_flux_25th,0.0052349074
flux_ratio_g_over_r_peak,0.005124451
u_gp_flux_max,0.0051100296
i_flux_skew,0.005020006
z_flux_10th,0.004928377
z_gp_rise_slope,0.004866092
u_max_flux_change,0.0048174025
r_flux_weighted_mean,0.004707206
g_std_flux_change,0.0046993983
y_gp_peak_flux,0.004693592
r_gp_flux_mean,0.004693131
r_flux_evolution,0.0046323044
r_gp_flux_max,0.0045693424
g_flux_max,0.0044787754
y_chi2_per_dof,0.0044745416
i_peak_position_ratio,0.0044726185
z_flux_rms,0.0044317795
u_max_consecutive_inc,0.004252393
i_flux_evolution,0.0041956753
color_r_minus_i_peak,0.0040561515
u_flux_95th,0.0040487302
u_flux_max,0.0040375404
EBV,0.003965869
r_flux_positive_frac,0.0039520613
z_flux_above_mean_frac,0.003938494
z_flux_weighted_mean,0.003931968
color_g_minus_i,0.0038843248
u_flux_90th,0.003791314
r_beyond_1std,0.0037072198
Z,0.003687651
g_gp_var_slope,0.0036786133
g_flux_05th,0.003673116
g_flux_positive_frac,0.0036722636
z_flux_evolution,0.0036286782
g_flux_above_mean_frac,0.0035951184
y_gp_mean_var,0.0035642807
r_max_time_gap,0.0035508226
